time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-21 00:00:00+00:00,78,27,0,0
2026-04-22 00:00:00+00:00,73,26,0,0
2026-04-23 00:00:00+00:00,65,18,0,0
2026-04-24 00:00:00+00:00,82,26,0,0
2026-04-25 00:00:00+00:00,75,23,0,0
2026-04-26 00:00:00+00:00,44,12,0,0
2026-04-27 00:00:00+00:00,29,9,0,0
2026-04-28 00:00:00+00:00,24,7,0,0
2026-04-29 00:00:00+00:00,33,7,0,0
2026-04-30 00:00:00+00:00,23,5,0,0
2026-05-01 00:00:00+00:00,41,9,0,0
2026-05-02 00:00:00+00:00,28,6,0,0
2026-05-03 00:00:00+00:00,43,14,0,0
2026-05-04 00:00:00+00:00,29,7,0,0
